measure_name,state_name,subpopulation,value,source
Cancer,District of Columbia,,5,"CDC, Behavioral Risk Factor Surveillance System"
Cancer,Hawaii,,6,"CDC, Behavioral Risk Factor Surveillance System"
Cardiovascular Diseases,California,,6,"CDC, Behavioral Risk Factor Surveillance System"
Cardiovascular Diseases,Colorado,,6,"CDC, Behavioral Risk Factor Surveillance System"
Cancer,Georgia,,6,"CDC, Behavioral Risk Factor Surveillance System"
Cardiovascular Diseases,District of Columbia,,6,"CDC, Behavioral Risk Factor Surveillance System"
Cancer,Illinois,,6,"CDC, Behavioral Risk Factor Surveillance System"
Cardiovascular Diseases,Utah,,6,"CDC, Behavioral Risk Factor Surveillance System"
Cardiovascular Diseases,Alaska,,6,"CDC, Behavioral Risk Factor Surveillance System"
Cancer,California,,6,"CDC, Behavioral Risk Factor Surveillance System"
Cancer,Colorado,,6,"CDC, Behavioral Risk Factor Surveillance System"
Cancer,Texas,,6,"CDC, Behavioral Risk Factor Surveillance System"
Cancer,Nevada,,6,"CDC, Behavioral Risk Factor Surveillance System"
Cancer,Alaska,,6,"CDC, Behavioral Risk Factor Surveillance System"
Cancer,Utah,,6,"CDC, Behavioral Risk Factor Surveillance System"
Cancer,Minnesota,,7,"CDC, Behavioral Risk Factor Surveillance System"
Cancer,Connecticut,,7,"CDC, Behavioral Risk Factor Surveillance System"
Cancer,Massachusetts,,7,"CDC, Behavioral Risk Factor Surveillance System"
Cardiovascular Diseases,Minnesota,,7,"CDC, Behavioral Risk Factor Surveillance System"
Cancer,North Carolina,,7,"CDC, Behavioral Risk Factor Surveillance System"
Cancer,Mississippi,,7,"CDC, Behavioral Risk Factor Surveillance System"
Cardiovascular Diseases,Hawaii,,7,"CDC, Behavioral Risk Factor Surveillance System"
Cardiovascular Diseases,Wisconsin,,7,"CDC, Behavioral Risk Factor Surveillance System"
Cancer,Washington,,7,"CDC, Behavioral Risk Factor Surveillance System"
Cancer,United States,,7,"CDC, Behavioral Risk Factor Surveillance System"
Cancer,Arizona,,7,"CDC, Behavioral Risk Factor Surveillance System"
Cancer,North Dakota,,7,"CDC, Behavioral Risk Factor Surveillance System"
Cancer,Iowa,,7,"CDC, Behavioral Risk Factor Surveillance System"
Cancer,Maryland,,7,"CDC, Behavioral Risk Factor Surveillance System"
Cancer,New Mexico,,7,"CDC, Behavioral Risk Factor Surveillance System"
Cancer,Oklahoma,,7,"CDC, Behavioral Risk Factor Surveillance System"
Cancer,Wyoming,,7,"CDC, Behavioral Risk Factor Surveillance System"
Cancer,Kansas,,7,"CDC, Behavioral Risk Factor Surveillance System"
Diabetes,Colorado,,7,"CDC, Behavioral Risk Factor Surveillance System"
Cancer,Virginia,,7,"CDC, Behavioral Risk Factor Surveillance System"
Cancer,New Jersey,,7,"CDC, Behavioral Risk Factor Surveillance System"
Cancer,Idaho,,7,"CDC, Behavioral Risk Factor Surveillance System"
Cancer,Ohio,,7,"CDC, Behavioral Risk Factor Surveillance System"
Cardiovascular Diseases,New Hampshire,,7,"CDC, Behavioral Risk Factor Surveillance System"
Cancer,Nebraska,,7,"CDC, Behavioral Risk Factor Surveillance System"
Cancer,Indiana,,7,"CDC, Behavioral Risk Factor Surveillance System"
Cancer,Louisiana,,7,"CDC, Behavioral Risk Factor Surveillance System"
