iter	Passed	Remaining
0	238	237767
1	272	136030
2	302	100446
3	328	81830
4	351	69943
5	377	62469
6	406	57630
7	430	53336
8	457	50331
9	484	48000
10	510	45884
11	535	44101
12	560	42574
13	587	41403
14	612	40247
15	637	39185
16	666	38512
17	697	38070
18	724	37390
19	750	36754
20	775	36138
21	803	35712
22	832	35362
23	858	34909
24	889	34676
25	917	34354
26	942	33965
27	971	33718
28	995	33329
29	1035	33472
30	1063	33232
31	1092	33043
32	1115	32686
33	1141	32431
34	1169	32232
35	1190	31890
36	1218	31722
37	1237	31330
38	1256	30951
39	1288	30912
40	1317	30805
41	1348	30767
42	1377	30666
43	1398	30379
44	1422	30190
45	1450	30077
46	1477	29957
47	1504	29841
48	1532	29735
49	1561	29662
50	1591	29619
51	1627	29665
52	1659	29653
53	1682	29481
54	1717	29517
55	1750	29507
56	1784	29527
57	1819	29548
58	1843	29399
59	1867	29256
60	1888	29075
61	1909	28885
62	1932	28747
63	1959	28653
64	1992	28657
65	2023	28632
66	2054	28615
67	2087	28613
68	2107	28441
69	2136	28384
70	2160	28274
71	2181	28112
72	2214	28126
73	2238	28012
74	2269	27988
75	2293	27879
76	2329	27919
77	2356	27860
78	2378	27725
79	2403	27636
80	2426	27535
81	2449	27419
82	2477	27373
83	2509	27363
84	2536	27309
85	2568	27296
86	2591	27191
87	2620	27160
88	2655	27185
89	2678	27079
90	2703	27005
91	2727	26914
92	2749	26818
93	2783	26823
94	2819	26858
95	2852	26861
96	2891	26913
97	2924	26913
98	2970	27034
99	3005	27045
100	3042	27082
101	3078	27098
102	3119	27168
103	3144	27089
104	3170	27024
105	3198	26977
106	3225	26921
107	3253	26867
108	3279	26803
109	3303	26731
110	3331	26685
111	3357	26623
112	3384	26569
113	3405	26468
114	3432	26412
115	3450	26293
116	3475	26228
117	3492	26103
118	3519	26058
119	3545	26001
120	3570	25936
121	3594	25866
122	3621	25821
123	3646	25758
124	3671	25698
125	3698	25657
126	3725	25606
127	3752	25561
128	3779	25521
129	3802	25445
130	3824	25368
131	3850	25321
132	3879	25289
133	3908	25256
134	3936	25222
135	3958	25147
136	3986	25111
137	4013	25068
138	4040	25029
139	4064	24967
140	4088	24908
141	4106	24813
142	4135	24784
143	4156	24709
144	4183	24666
145	4207	24608
146	4234	24570
147	4261	24530
148	4287	24485
149	4309	24418
150	4330	24350
151	4354	24292
152	4380	24252
153	4407	24213
154	4437	24190
155	4457	24113
156	4484	24079
157	4506	24017
158	4531	23970
159	4546	23867
160	4574	23836
161	4593	23763
162	4613	23690
163	4639	23649
164	4665	23608
165	4692	23575
166	4719	23542
167	4738	23464
168	4764	23425
169	4788	23378
170	4815	23342
171	4842	23310
172	4858	23223
173	4884	23187
174	4909	23145
175	4937	23116
176	4965	23086
177	4988	23038
178	5003	22949
179	5022	22881
180	5050	22853
181	5077	22820
182	5104	22790
183	5122	22716
184	5148	22679
185	5174	22645
186	5203	22623
187	5230	22590
188	5257	22560
189	5283	22522
190	5308	22485
191	5338	22465
192	5367	22442
193	5392	22405
194	5419	22373
195	5445	22338
196	5473	22310
197	5500	22281
198	5525	22241
199	5555	22220
200	5582	22191
201	5605	22142
202	5631	22111
203	5658	22077
204	5684	22043
205	5710	22011
206	5738	21983
207	5765	21952
208	5792	21921
209	5818	21887
210	5844	21852
211	5870	21820
212	5897	21788
213	5923	21756
214	5952	21733
215	5979	21702
216	6005	21670
217	6033	21644
218	6060	21613
219	6089	21591
220	6116	21559
221	6142	21527
222	6170	21500
223	6192	21453
224	6213	21403
225	6240	21371
226	6265	21335
227	6291	21304
228	6319	21275
229	6346	21247
230	6374	21219
231	6402	21195
232	6429	21163
233	6455	21133
234	6488	21122
235	6515	21092
236	6542	21061
237	6569	21033
238	6596	21003
239	6622	20969
240	6648	20939
241	6675	20910
242	6704	20887
243	6731	20856
244	6757	20823
245	6786	20800
246	6813	20770
247	6841	20745
248	6869	20717
249	6893	20679
250	6917	20642
251	6945	20614
252	6972	20587
253	7001	20564
254	7029	20536
255	7057	20510
256	7083	20478
257	7112	20454
258	7140	20429
259	7165	20395
260	7192	20365
261	7220	20338
262	7247	20310
