,ID State,State,Air Pollution
0,01,Alabama,9.199999809265137
1,02,Alaska,6.449999809265137
2,04,Arizona,6.300000190734863
3,05,Arkansas,9.100000381469727
4,06,California,8.100000381469727
5,08,Colorado,4.900000095367432
6,09,Connecticut,7.199999809265137
7,10,Delaware,7.300000190734863
8,11,District of Columbia,10.300000190734863
9,12,Florida,7.699999809265137
10,13,Georgia,9.600000381469727
11,15,Hawaii,4.300000190734863
12,16,Idaho,6.599999904632568
13,17,Illinois,8.699999809265137
14,18,Indiana,8.949999809265137
15,19,Iowa,7.5
16,20,Kansas,6.699999809265137
17,21,Kentucky,8.699999809265137
18,22,Louisiana,8.699999809265137
19,23,Maine,6.599999904632568
20,24,Maryland,8.0
21,25,Massachusetts,5.949999809265137
22,26,Michigan,7.099999904632568
23,27,Minnesota,6.300000190734863
24,28,Mississippi,8.699999809265137
25,29,Missouri,8.100000381469727
26,30,Montana,5.099999904632568
27,31,Nebraska,5.699999809265137
28,32,Nevada,5.400000095367432
29,33,New Hampshire,5.699999809265137
30,34,New Jersey,8.600000381469727
31,35,New Mexico,5.599999904632568
32,36,New York,6.599999904632568
33,37,North Carolina,8.5
34,38,North Dakota,4.699999809265137
35,39,Ohio,9.0
36,40,Oklahoma,8.199999809265137
37,41,Oregon,6.349999904632568
38,42,Pennsylvania,9.0
39,44,Rhode Island,6.099999904632568
40,45,South Carolina,8.949999809265137
41,46,South Dakota,5.0
42,47,Tennessee,8.800000190734863
43,48,Texas,7.300000190734863
44,49,Utah,5.800000190734863
45,50,Vermont,5.400000095367432
46,51,Virginia,7.699999809265137
47,53,Washington,6.400000095367432
48,54,West Virginia,7.800000190734863
49,55,Wisconsin,7.0
50,56,Wyoming,4.199999809265137
