,ID State,State,Population
0,01,Alabama,4997675
1,02,Alaska,735951
2,04,Arizona,7079203
3,05,Arkansas,3006309
4,06,California,39455353
5,08,Colorado,5723176
6,09,Connecticut,3605330
7,10,Delaware,981892
8,11,District of Columbia,683154
9,12,Florida,21339762
10,13,Georgia,10625615
11,15,Hawaii,1453498
12,16,Idaho,1811617
13,17,Illinois,12821813
14,18,Indiana,6751340
15,19,Iowa,3179090
16,20,Kansas,2932099
17,21,Kentucky,4494141
18,22,Louisiana,4657305
19,23,Maine,1357046
20,24,Maryland,6148545
21,25,Massachusetts,6991852
22,26,Michigan,10062512
23,27,Minnesota,5670472
24,28,Mississippi,2967023
25,29,Missouri,6141534
26,30,Montana,1077978
27,31,Nebraska,1951480
28,32,Nevada,3059238
29,33,New Hampshire,1372175
30,34,New Jersey,9234024
31,35,New Mexico,2109366
32,36,New York,20114745
33,37,North Carolina,10367022
34,38,North Dakota,773344
35,39,Ohio,11769923
36,40,Oklahoma,3948136
37,41,Oregon,4207177
38,42,Pennsylvania,12970650
39,44,Rhode Island,1091949
40,45,South Carolina,5078903
41,46,South Dakota,881785
42,47,Tennessee,6859497
43,48,Texas,28862581
44,49,Utah,3231370
45,50,Vermont,641637
46,51,Virginia,8582479
47,53,Washington,7617364
48,54,West Virginia,1801049
49,55,Wisconsin,5871661
50,56,Wyoming,576641
51,72,Puerto Rico,3311274
